Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD
1;ZONA 9;QUITO;CHILLOGALLO;ARCHIVO LOCAL;CALLE TABIAZO Y APÓSTOL SIMÓN.;-0.2706466;-78.5572578
2;ZONA 9;QUITO;CALDERÓN;CALDERÓN;AV. GIOVANNY CALLES Y CONCORDIA, CENTRO COMERCIAL PLAZA MARIANITAS, LOCAL N8;-0.095246688;-78.43798476
3;ZONA 9;CAYAMBE;CAYAMBE;CAYAMBE;"AV. MARIANA DE JESUS Y LUIS CORDERO; FRENTE AL TERMINAL TERRESTRE.";0.051158792;-78.14387037
4;ZONA 9;QUITO;EL QUINCHE;EL QUINCHE;MANABÍ S2C-E294 Y ESMERALDAS;-0.112167087;-78.29598202
5;ZONA 9;QUITO;SAN JUAN;HOSPITAL CARLOS ANDRADE MARÍN (QUITO);CALLE 18 DE SEPTIEMBRE Y AMÉRICA;-0.205010049;-78.5046663
6;ZONA 9;QUITO;SAN BARTOLO;HOSPITAL GENERAL DEL SUR DE QUITO - IESS;MORASPUNGO Y PINLLOPATA, SECTOR SAN BARTOLO,PLANTA BAJA TORRE 5 HOSPITAL GENERAL DEL SUR  DE  IESS  QUITO SUR;-0.257588368;-78.52528748
7;ZONA 9;QUITO;ITCHIMBIA;HOSPITAL GINECO OBSTÉTRICO ISIDRO AYORA (QUITO);AV. GRAN COLOMBIA Y LUIS SODIRO;-0.21458121;-78.49974249
8;ZONA 9;QUITO;GUAMANÍ;HOSPITAL GINECO OBSTÉTRICO NUEVA AURORA;AV. QUITUMBE ÑAN Y QUILLA ÑAN ESQUINA. PRIMER PISO;-0.312602299;-78.55422185
9;ZONA 9;QUITO;COTOCOLLAO;HOSPITAL PABLO ARTURO SUAREZ;Av. Ángel Ludeña y Machala Oe5-61;-0.1272514;-78.500225
10;ZONA 9;QUITO;CARCELÉN;HOSPITAL SAN FRANCISCO DE QUITO (QUITO);CALLE JAIME ROLDOS AGUILERA Y MERCEDES GONZALEZ;-0.089381415;-78.47657634
11;ZONA 9;QUITO;CONDADO;LA ROLDOS;PARROQUIA CONDADO, CALLE OE 12-D Y N83-104, CASA NO. 83-104;-0.084670128;-78.50991526
12;ZONA 9;QUITO;IÑAQUITO;MATRIZ - IÑAQUITO;AV. AMAZONAS 1014 Y AV. NACIONES UNIDAS;-0.174828197;-78.485839
13;ZONA 9;MEJÍA;MACHACHI;MEJÍA;"CALLE LUIS CORDERO S1-36 Y PASAJE A; ESQUINA";-0.514458564;-78.56720167
14;ZONA 9;PEDRO MONCAYO;TABACUNDO;PEDRO MONCAYO;AV. SUCRE Y PLAZA GUTIERREZ (MUNICIPIO DE PEDRO MONCAYO);-0.212833966;-78.4099289
15;ZONA 9;QUITO;POMASQUI;POMASQUI;AV. SIMÓN BOLIVAR Y 24 DE MAYO;-0.05525626;-78.45426045
16;ZONA 9;QUITO;PUELLARO;PUELLARO;CALLE 24 DE MAYO Y SUCRE, PARQUE CENTRAL (JUNTA PARROQUIAL);0.065852166;-78.40330894
17;ZONA 9;PUERTO QUITO;PUERTO QUITO;PUERTO QUITO;VÍA A PIEDRA DE VAPOR, BARRIO LUZ Y VIDA S/N;0.119529525;-79.26100919
18;ZONA 9;QUITO;QUITUMBE;QUITUMBE;AV. QUITUMBE ÑAN Y AMARU ÑAN, JUNTO A PLAZA QUITUMBE;-0.293126328;-78.54606385
19;ZONA 9;RUMIÑAHUI;SANGOLQUI;RUMIÑAHUI;CC. RIVER MALL AV. LUIS CORDERO 377 Y GENERAL ENRÍQUEZ;-0.324278457;-78.44891574
20;ZONA 9;QUITO;CENTRO HISTÓRICO;SAN BLAS (QUITO);AV. GRAN COLOMBIA N11-258  Y GRAL. PEDRO BRICEÑO;-0.216527906;-78.50416611
21;ZONA 9;QUITO;SAN JOSÉ DE MINAS ;SAN JOSÉ DE MINAS ; ELOY  ALFARO Y ANTONIO JOSÉ DE SUCRE. ESQUINA, JUNTO AL INFOCENTRO;0.171208486;-78.41053641
22;ZONA 9;SAN MIGUEL DE  LOS BANCOS;SAN MIGUEL DE LOS BANCOS;SAN MIGUEL DE LOS BANCOS;CALLE JAIME ROLDÓS Y LUIS GALARZA , ESQUINA JUNTO AL PARQUE INFANTIL CAMILO PONCE;0.025375447;-78.89476044
23;ZONA 9;QUITO;TUMBACO;TUMBACO;AVENIDA INTEREOCEANICA KM 14/1/2 CENTRO COMERCIAL VENTURA MALL;-0.2107169;-78.4180705
